benchmark,feature,coefficient,feature_std,standardized_abs_coef,train_n,classifier_weight,weighted_importance
BND,combined_ratio_ttm,-0.4310688818881804,2.502071783895116,1.0785652862876325,222,0.1342909623829299,0.14484157028838646
BND,yield_slope,0.4157421643964543,0.973757984329,0.40483225200326706,222,0.1342909623829299,0.05436531272516753
BND,book_value_per_share_growth_yoy,-2.0573379895529946,0.18992708473821618,0.3907442066769829,222,0.1342909623829299,0.052473415560206495
BND,real_yield_change_6m,0.5399859833263316,0.5752143271841145,0.3106076740879083,222,0.1342909623829299,0.04171180347678864
BND,investment_income_growth_yoy,0.9691224420129051,0.2576531282385456,0.24969742883080348,222,0.1342909623829299,0.03353210802223174
BND,credit_spread_hy,-0.08839062484856336,2.601878405715767,0.2299816580612005,222,0.1342909623829299,0.03088445819146052
BND,real_rate_10y,0.2316095655656069,0.9679723525002842,0.22419165604210936,222,0.1342909623829299,0.030106913248117668
BND,vix,-0.01896664191643414,8.565680554144718,0.16246219584102603,222,0.1342909623829299,0.021817204630335416
BND,nfci,0.2698776325175348,0.5821927923270818,0.15712081246200565,222,0.1342909623829299,0.021099905115910585
BND,mom_12m,-0.14137821703175157,1.011088361308395,0.14294586978333632,222,0.1342909623829299,0.019196338421869213
BND,npw_growth_yoy,-0.7483039255704095,0.0990629754922447,0.07412921343953198,222,0.1342909623829299,0.009954883413484371
BND,vol_63d,0.08523518407795104,0.34823976197011514,0.02968228021478462,222,0.1342909623829299,0.003986061975763225
DBC,combined_ratio_ttm,-0.6246806051886519,2.6963815859877016,1.6843772809543345,236,0.1237716420610216,0.20847814191399672
DBC,mom_12m,-0.701137291098297,1.0358513302017591,0.726273995638229,236,0.1237716420610216,0.08989212502636285
DBC,vix,0.07454376815908997,8.505723502251517,0.6340486807771598,236,0.1237716420610216,0.07847724636641358
DBC,credit_spread_hy,-0.22101003446741393,2.5675677612403454,0.5674582394091495,236,0.1237716420610216,0.07023523809272676
DBC,real_yield_change_6m,0.9728855428175426,0.5652326946826225,0.5499067169845255,236,0.1237716420610216,0.0680628573415602
DBC,real_rate_10y,-0.5308029541834367,1.0083665694904596,0.5352439539853536,236,0.1237716420610216,0.06624802308800111
DBC,book_value_per_share_growth_yoy,-0.6777026241323509,0.24052203063447308,0.1630024113226241,236,0.1237716420610216,0.020175076109307247
DBC,nfci,0.17678222010841937,0.5694194847617743,0.10066324068917873,236,0.1237716420610216,0.012459254595283496
DBC,vol_63d,-0.10258336369467161,0.5771332373583303,0.05920426878821283,236,0.1237716420610216,0.007327809564939192
DBC,investment_income_growth_yoy,0.23427649257115418,0.2520168813101712,0.05904163102206777,236,0.1237716420610216,0.007307679621562281
DBC,npw_growth_yoy,-0.5160434384002783,0.10015841399114779,0.05168609234071045,236,0.1237716420610216,0.006397272520727324
DBC,yield_slope,-0.02677781122763849,0.9790923918645023,0.026217951243764692,236,0.1237716420610216,0.0032450388769165598
GLD,combined_ratio_ttm,-0.43857331904335156,2.8695526363206776,1.2585092238807591,251,0.1199476842445028,0.15095526700484357
GLD,nfci,0.9937289995634341,0.5588013549885553,0.5552971114474685,251,0.1199476842445028,0.06660660258578543
GLD,real_rate_10y,0.45894520299314445,1.0031681453455676,0.4603992081018778,251,0.1199476842445028,0.05522381883982318
GLD,yield_slope,0.33658842577935055,0.9600789703660928,0.32315146925938293,251,0.1199476842445028,0.03876127039787162
GLD,real_yield_change_6m,0.5252574801548986,0.551780479387749,0.289826824201871,251,0.1199476842445028,0.034764056394953044
GLD,investment_income_growth_yoy,1.12366149936655,0.24477781104546065,0.2750474021710044,251,0.1199476842445028,0.03299129894787841
GLD,mom_12m,-0.27124809719584436,1.0101061067414554,0.27398935941952224,251,0.1199476842445028,0.03286438917000645
GLD,credit_spread_hy,-0.0723641085426763,2.5183949716284144,0.1822414070802488,251,0.1199476842445028,0.021859434752735583
GLD,vol_63d,-0.28256556651160303,0.562138755283573,0.1588410558448302,251,0.1199476842445028,0.01905261681153913
GLD,vix,-0.01815765767045283,8.39007895016982,0.15234418140525585,251,0.1199476842445028,0.018273331767684885
GLD,npw_growth_yoy,-0.6005117381278168,0.09742415482174674,0.05850434854764065,251,0.1199476842445028,0.007017461126522738
GLD,book_value_per_share_growth_yoy,-0.12560496349737027,0.23368864427466465,0.0293524536338692,251,0.1199476842445028,0.003520758840276752
VDE,combined_ratio_ttm,-0.43925183711193744,2.8639449715409944,1.2579930901368772,252,0.1171986047747366,0.14743503498030147
VDE,credit_spread_hy,-0.2307994998928215,2.514237967958445,0.5802848656163528,252,0.1171986047747366,0.06800857662213208
VDE,real_yield_change_6m,0.9387594345874596,0.5510222182533281,0.517277306052622,252,0.1171986047747366,0.06062417855100172
VDE,real_rate_10y,-0.5146317946495115,1.0037206577181514,0.5165465634082803,252,0.1171986047747366,0.06053853653263547
VDE,nfci,0.8582050307773544,0.5581724583720435,0.4790264118162512,252,0.1171986047747366,0.056141227115113046
VDE,vol_63d,0.6333878862995403,0.5611704747182626,0.35543858083551,252,0.1171986047747366,0.04165690575703421
VDE,mom_12m,-0.337357763209761,1.0083294263627187,0.3401677598563082,252,0.1171986047747366,0.03986718684450698
VDE,yield_slope,0.30256885537923867,0.9596160522245731,0.2903499305251328,252,0.1171986047747366,0.03402860675398727
VDE,vix,0.02450137964164212,8.376957749144518,0.2052470220537857,252,0.1171986047747366,0.02405466461887328
VDE,book_value_per_share_growth_yoy,-0.663380521381227,0.23322616460013806,0.15471769467218346,252,0.1171986047747366,0.0181326979495436
VDE,npw_growth_yoy,-0.4317949286652658,0.09723187547183881,0.04198423073335265,252,0.1171986047747366,0.004920493264489547
VDE,investment_income_growth_yoy,0.08584053333789533,0.24432190697405304,0.02097272280078436,252,0.1171986047747366,0.0024579738505792334
VMBS,combined_ratio_ttm,-0.44588964639951206,2.5439297501002964,1.1343119367374204,190,0.1329263986529053,0.15078000069950742
VMBS,yield_slope,0.8300946023487726,0.9804916794741327,0.8139008507793605,190,0.1329263986529053,0.10818890895463605
VMBS,credit_spread_hy,0.4514956510884587,1.295061051620279,0.5847144327006019,190,0.1329263986529053,0.07772398377926756
VMBS,mom_12m,0.6566116792912361,0.8772280768989191,0.5759982006940209,190,0.1329263986529053,0.07656536644880957
VMBS,real_yield_change_6m,0.7748661550660825,0.5246203639926584,0.4065105643163599,190,0.1329263986529053,0.05403598532893395
VMBS,real_rate_10y,0.3763130915422835,0.8665687566329051,0.3261011678424812,190,0.1329263986529053,0.04334745383780764
VMBS,book_value_per_share_growth_yoy,-1.4106691275701493,0.14585346941143215,0.20575098644770445,190,0.1329263986529053,0.027349737647776075
VMBS,investment_income_growth_yoy,0.5333124325977467,0.2609012153848516,0.1391418618446039,190,0.1329263986529053,0.01849562659686329
VMBS,vix,-0.019230088273227808,6.7695830812674735,0.13017968022572302,190,0.1329263986529053,0.01730431607019219
VMBS,nfci,0.6371957907300185,0.20046463926729788,0.1277352243313338,190,0.1329263986529053,0.016979383351485165
VMBS,npw_growth_yoy,-0.4444744549060198,0.09426101978924462,0.04189661538971005,190,0.1329263986529053,0.0055691661995000445
VMBS,vol_63d,0.13582107615503516,0.1126121046863632,0.015295097246585329,190,0.1329263986529053,0.0020331221940345554
VOO,combined_ratio_ttm,-0.4408857547473265,2.603535814869554,1.147861852750459,181,0.1062426775730621,0.1219519167201847
VOO,real_yield_change_6m,1.5223254830557797,0.5340122290486246,0.8129404245441411,181,0.1062426775730621,0.0863689674109514
VOO,credit_spread_hy,0.6326584372572187,1.233915126778744,0.7806468158158831,181,0.1062426775730621,0.08293800795116447
VOO,yield_slope,0.5687405309365594,0.9320852889448167,0.5301146821126315,181,0.1062426775730621,0.05632080324843862
VOO,mom_12m,0.5338766289411788,0.8012010452386087,0.4277425131361373,181,0.1062426775730621,0.045444509907413916
VOO,nfci,0.8221096412666606,0.18087962498751672,0.14870288361093548,181,0.1062426775730621,0.0157985925176612
VOO,real_rate_10y,-0.15723317720164753,0.8632230162384839,0.1357272974767662,181,0.1062426775730621,0.014420031503687158
VOO,vix,0.010225847321456288,6.67575130092212,0.0682652135592428,181,0.1062426775730621,0.00725267907363086
VOO,vol_63d,0.5537652762945243,0.1019498045035718,0.056456261659093177,181,0.1062426775730621,0.005998064404427465
VOO,npw_growth_yoy,-0.4147349301395229,0.09450831125478491,0.039195897865857504,181,0.1062426775730621,0.004164277139148972
VOO,book_value_per_share_growth_yoy,-0.2371645811864591,0.1364295518394263,0.03235625752345385,181,0.1062426775730621,0.003437615435535272
VOO,investment_income_growth_yoy,0.03388354886087815,0.2634396330479331,0.008926269678271452,181,0.1062426775730621,0.0009483507913587946
VWO,credit_spread_hy,0.6425125634630898,2.529839972867477,1.6254539661184764,247,0.1338767798644752,0.21761054280188136
VWO,combined_ratio_ttm,-0.5366363685986691,2.892317151657849,1.5521225731013144,247,0.1338767798644752,0.20779317204176748
VWO,real_yield_change_6m,1.390064819723597,0.5541120150541996,0.770251618312995,247,0.1338767798644752,0.1031188063451446
VWO,vol_63d,0.7123302611446795,0.5660602145889175,0.40322182048173694,247,0.1338767798644752,0.053982038897186425
VWO,vix,-0.0336938339258352,8.430203172463894,0.2840458656540475,247,0.1338767798644752,0.03802714582758121
VWO,real_rate_10y,0.19593881508882438,1.006021957183015,0.19711875024377995,247,0.1338767798644752,0.026389623533546992
VWO,nfci,-0.250752522070136,0.561263274880112,0.14073818172153207,247,0.1338767798644752,0.018841574572860054
VWO,yield_slope,-0.08324265624922578,0.9663490097414262,0.08044145843468528,247,0.1338767798644752,0.010769243422837691
VWO,mom_12m,0.05161318655886393,1.0174577699624499,0.052514237696837586,247,0.1338767798644752,0.00703043703989025
VWO,npw_growth_yoy,-0.524123086745234,0.09820483900141805,0.05147142335074197,247,0.1338767798644752,0.006890828413238491
VWO,investment_income_growth_yoy,0.1793286327109736,0.24662713003079845,0.04422730601785458,247,0.1338767798644752,0.005921009311751096
VWO,book_value_per_share_growth_yoy,-0.17900855809600127,0.2355664625045195,0.04216841278870979,247,0.1338767798644752,0.0056453713161484205
VXUS,combined_ratio_ttm,-0.3568397767613987,2.6384755754049505,0.9415130353179055,176,0.1317452504463663,0.124039870636476
VXUS,real_yield_change_6m,1.4130035087039934,0.5289343796690359,0.7473861343465179,176,0.1317452504463663,0.09846457344962359
VXUS,credit_spread_hy,0.5512381676538713,1.2162605362419798,0.670449229387744,176,0.1317452504463663,0.08832850163726162
VXUS,mom_12m,0.7923645512020466,0.7463969165696737,0.591418457816321,176,0.1317452504463663,0.07791657284361493
VXUS,yield_slope,0.5300805804174465,0.9152138811326975,0.4851371053169242,176,0.1317452504463663,0.06391450944080337
VXUS,nfci,0.7486636310641883,0.17653624791648792,0.1321662683796056,176,0.1317452504463663,0.017412278128232806
VXUS,real_rate_10y,0.11438322302045473,0.871121093523519,0.09964163831832307,176,0.1317452504463663,0.013127312595133722
VXUS,vix,0.012949268718447825,6.721655712964716,0.08704052606007011,176,0.1317452504463663,0.01146717590476741
VXUS,npw_growth_yoy,-0.4103617901411189,0.09478990131758652,0.03889815359198481,176,0.1317452504463663,0.005124646986877262
VXUS,vol_63d,0.2731205722486248,0.10336948839761324,0.02823233382420371,176,0.1317452504463663,0.0037194758903551367
VXUS,investment_income_growth_yoy,-0.07306190846049126,0.2665515242340474,0.019474763063592387,176,0.1317452504463663,0.002565707537196623
VXUS,book_value_per_share_growth_yoy,-0.11521123317934856,0.1371923985184113,0.015806105416138798,176,0.1317452504463663,0.002082379316630873
