as_of,path_name,candidate_name,policy_name,consensus,confidence_tier,recommendation_mode,sell_pct,mean_predicted,mean_ic,mean_hit_rate,aggregate_oos_r2,aggregate_nw_ic,signal_agrees_with_shadow,mode_agrees_with_shadow,sell_agrees_with_shadow
2025-04-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.06655993473292028,-0.07925959360654221,0.6455414247250298,-0.17773821784630228,0.023164985130187898,True,True,True
2025-04-30,live_production,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.11644650319384661,0.16508211926845973,0.5850402245223915,-1.0177866537129239,0.18956326732068707,False,True,True
2025-04-30,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.19027793214109218,0.1614835208041128,0.6611130901661599,-0.212979893687679,0.1671995708572231,False,True,True
2025-05-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.06122500531143466,-0.10695872256939803,0.6376869614933631,-0.15372510689242125,0.019793495847098063,True,True,True
2025-05-30,live_production,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.12166762798126567,0.17806922424034533,0.5907839212480666,-0.864457121248771,0.21666142432123683,False,True,True
2025-05-30,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.2135887021899281,0.1490760459696448,0.6737320801816727,-0.20016732723126585,0.17089520727116872,False,True,True
2025-06-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05517354436292035,-0.11961260658349279,0.6401150186324402,-0.15182424383597004,0.012245366627839349,True,True,True
2025-06-30,live_production,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.11840901453330609,0.1365662446215365,0.583120059695174,-0.7542352301843775,0.1905092362753016,False,True,True
2025-06-30,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.152969582548627,0.15062751036424832,0.6623076663279415,-0.1834119644470955,0.169047144213464,False,True,True
2025-07-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.052676261248378015,-0.13638377575236404,0.6434146415676366,-0.15179178459109122,0.0016144071981528294,True,True,True
2025-07-31,live_production,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,HIGH,DEFER-TO-TAX-DEFAULT,0.5,-0.06881767170029966,0.1283536849648988,0.5725574631340744,-1.0351110128229033,0.138423844759214,False,True,True
2025-07-31,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1396836279667942,0.14788584884901357,0.6503288946485364,-0.18422962569477153,0.17005321639131257,False,True,True
2025-08-29,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05164367618829994,-0.14988405684042405,0.6355455006311199,-0.1555119357051855,-0.011906904964802172,True,True,True
2025-08-29,live_production,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,MODERATE,DEFER-TO-TAX-DEFAULT,0.5,-0.057882245450929674,0.10609398003336622,0.5643570031964602,-1.2380385815353936,0.1254768325670446,False,True,True
2025-08-29,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.1308869986397837,0.19987704078101923,0.6794614416647886,-0.16578110499822052,0.21796937318284926,False,True,True
2025-09-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2025-09-30,live_production,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,MODERATE,DEFER-TO-TAX-DEFAULT,0.5,-0.05169223741689111,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,False,True,True
2025-09-30,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2025-10-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2025-10-31,live_production,production_4_model_ensemble,current_production_mapping,NEUTRAL,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.004204846607459016,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,False,True,True
2025-10-31,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2025-11-28,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2025-11-28,live_production,production_4_model_ensemble,current_production_mapping,NEUTRAL,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.030842646509390868,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,False,True,True
2025-11-28,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2025-12-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2025-12-31,live_production,production_4_model_ensemble,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.03696525248793138,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,False,True,True
2025-12-31,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2026-01-30,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2026-01-30,live_production,production_4_model_ensemble,current_production_mapping,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.022258338080287342,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,True,True,True
2026-01-30,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2026-02-27,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2026-02-27,live_production,production_4_model_ensemble,current_production_mapping,NEUTRAL,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.0007097223124911956,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,False,True,True
2026-02-27,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
2026-03-31,shadow_baseline,baseline_historical_mean,neutral_band_3pct,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.05064869956768677,-0.13837087105499132,0.6244063836688358,-0.15542079443802082,-0.01175642225280153,True,True,True
2026-03-31,live_production,production_4_model_ensemble,current_production_mapping,OUTPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,0.024129451222855845,0.11966448149945352,0.5634270400392287,-1.186986106685771,0.1347575442288782,True,True,True
2026-03-31,candidate_v16,ensemble_ridge_gbt_v16,current_production_mapping,UNDERPERFORM,LOW,DEFER-TO-TAX-DEFAULT,0.5,-0.10765365232772993,0.20183198784637915,0.6584857918263092,-0.2041573216702739,0.192722932424054,False,True,True
